oare_id,akk_orig,eng_orig,fwd_pred,n_sents,akk_roundtrip,chrf_roundtrip,akk_orig_bytes,akk_roundtrip_bytes
c6f8a7ce-a489-4ff7-9ced-a8c5c3da40e1,18 GÍN KÙ.BABBAR i-ṣé-er ki-da-aḫ-šu ù me-er-i-šu a-lá-ḫu-um i-šu 6 na-ru-uq mì-iš-lam ŠE-um mì-iš-lam₅ ar-ša-tum i-na ḫa-ar-pé-e i-ma-da-ad 15 GÍN KÙ.BABBAR iš-tí ḫa-ar-šu-um-nu-ma-an 5 na-ru-uq mì-iš-lúm ŠE-um mì-iš-lam₅ ar-ša-tim i ḫa-ar-pé-e i-ma-da-ad KÙ.BABBAR a-ni-am wa-al-dí-DINGIR i-dí-in IGI ḫa-pu-a-šu IGI ma-nu-ba-lúm-a-šur,"Kid-ahšu and his sons owe 18 shekels of silver to Ali-ahum. He will measure out 6 sacks (of grain), half barley, half wheat at harvest time. 15 shekels of silver is owed by haršumnuman; he will measure out 5 sacks (of grain), half barley, half wheat, at harvest time. Waldi-ilum gave this silver. Witnessed by happu-aššu, by Mannum-balum-Aššur.","18 shekels of silver Kidahšu and his son owe to Ali-ahum. 6 sacks of half half barley, half wheat will cross overland in harvest. 15 shekels of silver owed by haršumnuman; 5 sacks of half half barley, half wheat will cross overland in harvest. Waldi-ilum gave this silver. Witnessed by happuašu, by Mannum-balum-Aššur.",5,18 GÍN KÙ.BABBAR i-ṣé-er ki-da-aḫ-šu ù me-er-ú-šu a-lá-ḫu-um i-šu 6 na-ru-uq mì-iš-lam ŠE-am mì-iš-lam GIG a-na e-ṣé i-ša-qal 15 GÍN KÙ.BABBAR KI ḫa-ar-šu-um-nu-ma-an 5 na-ru-uq mì-iš-lam ŠE-am mì-iš-lam GIG a-na e-ṣé-e i-ša-qal wa-al-dí-DINGIR KÙ.BABBAR a-nim wa-al-dí-DINGIR i-dí-in IGI ḫa-pu-a-šu IGI ma-nu-ba-lúm-a-šur,67.50377511228294,388,369
3327f53e-3d10-42fd-88fe-45aa99e4a6f9,a-na a-la-ḫi-im qí-bi-ma um-ma SIG₅-pí-a-šur-ma 1 ma-na KÙ.BABBAR 5 ma-na URUDU 5 ma-na ni-ga-li ša 5 GÍN KÙ.BABBAR ṣí-pá-ra-tim i-na a-li-ki-im pá-ni-im-ma ú a ni-qí za-áp-ru-tim a-na DUMU um-me-a-nim ke-nim dí-in-ma lu-ub-lam <gap> ma {d}MAR.TU li-li-ik a-na ṣé-ri-kà <gap> a-na DUMU um-me-a-ni-im <gap> a-na <gap> ni šu <gap>-ma <gap> an <gap> mì-ma a-wa-tum da-<gap> i-na pá-ni-im-ma a-li-ki-im li-li-kam <gap> bé-té-e 12 GÍN KÙ.BABBAR a-šur-i-mì-tí ḫa-bu-lam a-mur-IŠTAR <gap> ta kà <gap> a-mur-IŠTAR a-wa-at ma-<gap> KÙ.BABBAR ša-áš-qí-il₅-šu-ma ku-nu-uk-ma a-na pá-ni-a šé-bi-lam a-ḫi a-ta <gap> tí-ir-ta-kà za-ku-sà <gap> li-li-kam-ma <gap> bi <gap>-ma ta-<gap> ḫa-ra-<gap> lá wa-<gap> iš-tí ILLAT-tim <gap> ṭup-pá-am ša 4 GÍN KÙ.BABBAR li-li-a-ma a pá-ni-a šé-bi-lam a-ḫi a-ta a-lá-nu-kà a-ḫa-am ra-bi-am ú-lá i-šu a-na a-wa-at ṭup-pì-im i-ḫi-id,"To Ali-ahum from Damiq-pī-Aššur: 1 mina of silver, 5 minas of sickles, bronze pins worth 5 shekels of silvers with the first transport - also, rings - give that to a reliable affiliated trader so he may bring it. <gap>-Amurrum should come. <gap> to you <gap> to an affiliated trader <gap> the matter <gap> have him come with the first transport. <gap> Aššur-imittī owes me 12 shekels of silver Amur-Ištar <gap> Amur-Ištar <gap> the matter <gap> Make him pay the silver, seal it and send it to me. My dear brother, a final report should come to me and <gap>with the caravan. Produce the tablet concerning 4 shekels of silver and send it to me. My dear brother, apart from you I have no elder brother. Pay attention to the words of the tablet. ","To Ali-ahum from Damiq-pī-Aššur: 1 mina of silver, 5 minas of sickles, 5 minas of sickles, bronze pins, under the seals of the first transport, and also bronze sacks to an affiliated trader so he may bring it. Amurrum should come. <gap> to you <gap> to an affiliated trader <gap> the matter should come from the first transport. <gap> Aššur-imittī <gap> 12 shekels of silver <gap> Aššur-imittī <gap> Aššur-imittī <gap>",8,a-na a-lá-ḫi-im qí-bi-ma um-ma SIG₅-pí-a-šur-ma 1 ma-na KÙ.BABBAR 5 ma-na ni-ga-li ša 5 GÍN KÙ.BABBAR sí-pá-ra-tim i-na a-li-ki-im pá-ni-im-ma ú a-ni-ú-tum a-na DUMU um-me-a-nim ke-nim dí-in-ma lu-ub-lam <gap>-ma-ra-am li-li-kam <gap> a-ku-um <gap> a-na DUMU um-me-a-nim <gap> a-wa-tum iš-tí pá-ni-im-ma li-li-kam <gap> 12 GÍN KÙ.BABBAR a-šur-i-mì-tí ḫa-bu-lam a-mur-IŠTAR a-mur-IŠTAR <gap> a-wa-tim <gap> KÙ.BABBAR ša-áš-qí-il₅-šu-ma ku-un-kà-ma šé-bi₄-lam a-ḫi a-ta ga-me-er tí-ir-tí li-li-kam-ma iš-tí ILLAT-tim li-li-kam ṭup-pá-am ša 4 GÍN KÙ.BABBAR šé-ṣí-a-ma šé-bi₄-lam a-ḫi a-ta a-lá-kam ku-a-tí a-ḫa-am ša-li-iš ú-lá i-šu a-na a-wa-at ṭup-pí-im iḫ-da,60.46775890852615,937,738
351dea4e-b572-4f00-86dd-88f71c254fd8,a-na a-dí-da ú a-lá-ḫi-im qí-bi-ma um-ma SIG₅-pì-a-šur-ma 6 na-ru-qá-tim TÚG.ḪI.A ku-nu-ki-a i-na ḫu-ur-ší-im e-zi-ib ŠÀ.BA 12 TÚG.ḪI.A SIG₅ 8 TÚG.ḪI.A tár-dí-ú-tim 4 TÚG.ḪI.A ša uš-ma-a ṣú-ba-tí-a a-šar ša-ṣú-ru šu-uk-na 0.3333 ma-na 1 GÍN KÙ.BABBAR ší-im ṣú-ba-tim 21 ma-na 10 GÍN KÙ.BABBAR e-zi-ba-ku-nu-tí URUDU-ri-i a-na KÙ.BABBAR dí-na-ma ú KÙ.BABBAR ší-im ṣú-ba-tí-a ku-un-kà-ma li-ib-ší KÙ.BABBAR a-na ḫu-ša-ḫi-ku-nu lá tù-ma-na li-ib-ší a-ḫu-a a-tù-nu KÙ.BABBAR ṣú-ba-tí-a a-na i-ṭá-at-lim i-ta-dí-na ba-áb-tám lá a-ra-ší 14 GÍN KÙ.BABBAR ša-lim-be-lí DUMU ba-šu ḫa-bu-lu-ni-im i-na ba-ni-<gap>-im,"To Adida and Ali-ahum from Damiq-pī-Aššur: I left 6 sacks with textiles under my seal in the store-room. Among those (were) 12 textiles of good quality, 8 second quality textiles, 4 textiles belonging to Ušmaya. Place my textiles where they will be under guard. I left the price of a textile, 0.3333 mina 1 shekel of silver (and) 21 minas 10 shekels of with you. Sell my copper for silver, then seal the proceeds in silver from my textiles and let it remain. Do not consider the silver for your own needs, let it remain (intact). My dear brothers, as to the silver for my textiles, they should be sold for cash on delivery. I shall not have any outstanding claims. Šalim-bēlī son of Bašu owes me 14 shekels of silver. in <gap>","To Adida and Ali-ahum from Damiq-pī-Aššur: I left 6 sacks with textiles under my seal in the storeroom. Thereof: 12 textiles of good quality, 8 second quality textiles, 4 textiles belonging to Ušmaya. Place my textiles where they are lost. I left 0.3333 mina 1 shekel of silver, the price of a textile, for 21 minas 10 shekels of silver for you. Sell my copper for silver and then seal the proceeds from my textiles and let it remain. As for the silver I shall pay to you for the silver that I left with you",10,a-na a-dí-da ù a-lá-ḫi-im qí-bi-ma um-ma SIG₅-pí-a-šur-ma 6 na-ru-qá-tim ša TÚG.ḪI.A ku-nu-ki-a i-na ḫu-ur-ší-im e-zi-ib i-na ša 12 TÚG SIG₅ 8 TÚG tár-dí-ú-tum 4 TÚG ša uš-ma-a TÚG.ḪI-tí a-šar ša-ṣú-ru šu-uk-na 0.3333 ma-na 1 GÍN KÙ.BABBAR 21 ma-na 10 GÍN KÙ.BABBAR e-zi-ba-kum URUDU-a a-na KÙ.BABBAR dí-na-ma ší-im KÙ.BABBAR ša TÚG.ḪI-tí-a ku-un-kà-ma li-ib-ší KÙ.BABBAR a-na ra-mì-ni-kà lá ta-mu-ú li-ib-ší a-ḫu-ú-a a-tù-nu KÙ.BABBAR ša TÚG.ḪI-tí-a a-na ša-du-i-šu li-dí-nu mì-ma ba-a-ba-tí lá a-qá-bi₄ 14 GÍN KÙ.BABBAR ša-lim-be-lí DUMU ba-šu ḫa-bu-lam i-na <gap> a-na <gap>,66.71292366784596,709,667
21ae4700-fc2d-4e62-8580-bc08efc8a6ae,15 GÍN KÙ.BABBAR li-tí SIG₅ i-ṣé-er wa-al-ḫi-iš-na pé-ru-wa ù tù-wa-tù-ú-i a-ší-tí-šu lá-ma-sà-tum tí-šu iš-tù ḫa-mu-uš-tim ša i-na-a a-na ša pá-ar-kà i-ša-qú-lu šu-ma lá iš-qú-lu 1.5 GÍN.TA ṣí-ib-tám ú-ṣú-bu ITU.KAM a-lá-na-tim li-mu-um a-šur-i-mì-tí KÙ.BABBAR i qá-qá-ad šál-mì-šu-nu ra-ki-is šu-ma i-na u₄-me-šu-nu lá iš-ta-aq-lu tù-wa-tù-wi ú-šé-ṣa <gap> IGI ša-ar-ni-ga-a-šu IGI e-na-a-šur,"15 shekels of refined -silver Walhišna, Peruwa and Tuwatuwi, his wife, owe to Lamassutum. Reckoned from the week of Innāya not later than the festival of Parka they will pay. If they do not pay they will add interest at a rate of 1.5 shekel. Month XII, eponymy of Aššur-imittī. They are jointly liable for the silver. Should they not pay when their term is due, then I will take away Tuwatuwi. In the presence of Šarnigāšu, and of Ennam-Aššur.","15 shekels of good silver Walhišna, Peruwa and Tuwatuwi, his wife, owe to Lamassutum. Reckoned from the week of Innāya they will pay they will add interest at the rate 1.5 shekel. Month Allanātum, eponymy Aššur-imittī. They are jointly liable for the silver. If they have not paid when their term is up, Tuwatuwi will take it. Witnessed by Šarnigāšu, by Ennam-Aššur.",7,15 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er wa-al-ḫi-iš-na pé-ru-wa ù tù-wa-tù-ú-i a-ší-tí-šu lá-ma-sà-tum tí-šu i-šu iš-tù ḫa-mu-uš-tim ša i-na-a a-na ša pá-ar-kà i-ša-qú-lu šu-ma lá iš-qú-lu 1.5 GÍN.TA ṣí-ib-tám ú-ṣú-bu ITU.KAM ku-zal-li li-mu-um a-šur-i-mì-tí a-na KÙ.BABBAR i-ra-de₈-ú šu-ma i-na u₄-me-šu-nu lá iš-qú-lu tù-wa-tù-ú-i ú-šé-ṣí IGI a-šur-ma-lik DUMU šu-ku-bi-im IGI ša-ar-ni-ga-a-šu IGI en-um-a-šur,76.10605102947619,469,485
749350ec-f99b-4e90-a83b-e2084ad90cce,a-na na-áb-sú-in en-um-a-šur ZU-re-i ú a-šur-iš-tí-kál qí-bi₄-ma um-ma iš-ma-a-šur-ma áš-pu-ra-ku-nu-tí um-ma a-na-ku-ma DAM ḫa-lá-bi₄-im me-ta-at mì-ma té-zi-bu pá-ḫi-ra-ma a-na ḫu-ur-ší-im iš-té-en šé-ri-ba-ma ki-ma i-a-tí ku-un-kà áš-ta-na-me-ma ma-ma-na am-tám a-na a-ḫa-zi-im i-za-az ša-i-lá-ma lu DUMU a-šur lu nu-a-um ší-be-e šu-uk-na-šu-um lá e-ḫa-sí mì-ma té-zi-bu lu ba-áb-tám ṣa-bi₄-sí a-ḫu-ú-a a-tù-nu i-iḫ-da <gap> a-wi-lum KÙ.BABBAR ma-dam i-ta-ba-al bu-lá-tí-a šar-ší-a-ni,"Say to Nab-Suen, Ennam-Aššur, Suen-rē'ī, and Aššuriš-tikal, thus Išme-Aššur: I wrote you as follows: 'The wife of hali-abum is dead. Collect everything she left behind and bring it into one single storeroom and seal it in my name'. I hear by rumor that somebody intends to marry the maid. Make inquiries and whether it is an Assyrian or an Anatolian, set witnesses against him. He shall not marry her! Seize everything she left behind, also outstanding claims. Please, my brothers, take care, (for) the man may take along a lot of silver. Make me obtain my assets!""""","To Nāb-Suen, Ennam-Aššur, Suen-rē'ī and Aššuriš-tikal from Išme-Aššur: I wrote you as follows: 'The wife of hali-abum is dead. Collect everything you left behind and bring it into one single storeroom and seal it on my own representatives.' I hear that any of the man is indebted to the maid. Seize everything you left behind and set witnesses for him. Seize everything you left behind and seal everything you left behind. Please, my brothers, take care to satisfy me with the maid. Seize everything",8,a-na na-áb-sú-in en-um-a-šur ZU-re-i ù a-šur-iš-tí-kál qí-bi-ma um-ma iš-ma-a-šur-ma áš-pu-ra-kum um-ma a-na-ku-ma DAM ḫa-lá-bi-im me-et mì-ma té-zi-bu pá-ḫi-ra-ma a-na ḫu-ur-ší-im iš-tí-in šé-ri-a-ma ku-un-kà-šu a-ša-me-ma ma-ma-an a-na e-ḫu-zu i-ḫi-id ší-ma-am ša-ma-ma lu DUMU a-šur lu nu-a-um ší-bi šu-uk-na-šu-um lá i-ḫa-ša-aṣ mì-ma té-zi-bu ù ba-a-ba-tí ṣa-ba-at a-ḫu-ú-a a-tù-nu iḫ-da-ma KÙ.BABBAR ma-dam a-we-lam li-tù-ra-am bu-lá-tí ša-áš-qí-lá,61.80471885710309,560,524
71112263-5009-4065-b5ff-d4ec32dd83bb,a-na e-lá-ma qí-bi-ma um-ma a-šùr-SIPA-ma 2 šu-lu-up-kà-ú ša ú-šé-bi-lá-ni a-šùr-mu-ta-pí-il₅ a-na 30 ma-na ma-sí-am lá-ma a-li-kà-ni il₅-qé-šu-nu wa-ar-kà-nu-um um-ma šu-ut-ma ṣú-ba-ti-kà li-qé 1 TÚG šé-šé-ra-am i-pu-ḫu-šu ša-ni-am ú-ri-šu-uš TÚG a pá-ni-a i-dí-ú-šu-nu a-bi a-ta be-lí a-ta lá ú-nu-ú-ni té-er-ta-kà li-li-kam-ma ší-im TÚG.ḪI.A li-dí-nu-nim-ma lá-tal-kam a-ma a-ša ta-ta-ú-ni um-ma a-ta-ma ar-ḫi-iš ta-ta-lá-kam tù-ZA-ra-<gap>-ni,"Say to Elamma, thus Aššur-rē'ī: The 2 Šulupkaean textiles I sent you Aššur-mūtappil had taken for 30 minas of refined copper before I arrived. Afterwards he said: 'Take your textiles!' As for 1 <gap> textile, instead of it they asked for another one. They deposited the textile(s) before me. Please my father, my lord, they must not cheat me! Let a message of yours come here so that they give me the price of the textiles, then I will leave. Now then, as for what you said: 'Leave quickly!' you are <gap>ing me.""""","Say to Elamma, thus Aššur-rē'ī: As for the 2 Šulupkaean textiles I sent, Aššur-mūtappil has taken them for 30 minas of washed copper before I arrived. Afterwards he said: Take your textiles."" They asked for 1 -textile, a second one. They asked for the textile to me earlier. My dear father and lord, they are not my lord. Send me word so that they give me the proceeds from the textiles and I shall come. Now, what you say to me, saying: 'Let them give me the proceeds from the textiles and I shall come",6,a-na e-lá-ma qí-bi-ma um-ma a-šur-SIPA-ma 2 šu-lu-up-kà-ú ša ú-šé-bi-lá-ni a-šur-mu-ta-pì-il₅ a-lá-ak a-lá-kà-ni il₅-qé i-na wa-ar-ki-tim um-ma šu-ut-ma ṣú-ba-tí-kà le-qé 1 TÚG <gap> ku-nu-ki-šu ki-ma šu-a-tí er-šu-um TÚG i-na ma-aḫ-ri-a i-dí-ú-nim a-bi a-ta be-lí a-ta lá ú-sà-ni-qú-ni TÚG ku-a-tí li-li-kam-ma ší-im TÚG.ḪI.A li-dí-nu-nim-ma a-ta-lá-kam a-ma a-dí um-ma a-ta-ma um-ma a-ta-ma a-ḫa-ma le-tí-qá-ma ta-aḫ-sí-is-ta-am,57.81350535239904,514,490
a793a223-aa10-411f-8240-a1fc160fcf12,i-dí-a-bu-um É-tí ša bu-ri-im a-šar ša-lim-a-šùr wa-áš-bu iš-tí tù-ud-ḫa-li-a a-ḫu tù-li iš-a-am a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ṭup-pá-am ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in IGI a-ku-za IGI ú-ra-a IGI a-šùr-ba-ni,"Iddin-abum has bought the houses by the well, where Šalim-Aššur is living, from Tudhiliya the brother of Tuli. The Kanesh colony gave us for these proceedings, and we gave a tablet with our testimony before the dagger of Aššur. Witnessed by Akuza, by Uraya, by Aššur-bāni.","Iddin-abum has bought the houses by the well, where Šalim-Aššur is living, from Tudhaliya the brother of Tuli. The Kanesh colony gave us for these proceedings and we gave a tablet with our testimony before the dagger of Aššur. Witnessed by Akuza, by Uraya, by Aššur-bāni.",3,i-dí-a-bu-um É-tí ša bu-ri-im a-šar ša-lim-a-šùr wa-áš-bu iš-tí tù-ud-ḫa-li-a a-ḫu tù-li iš-a-am a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ṭup-pá-am ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in IGI a-ku-za IGI ú-ra-a IGI a-šur-ba-ni,97.92205636226583,280,279
0afc88d2-258e-4d6a-8c02-25b605573093,17 ma-na KÙ.BABBAR ṣa-ru-pá-am ù 7.5 GÍN KÙ.GI pá-ša-lam a-šùr-i-mì-tí DUMU e-ta-a i-na ší-im SÍG.ḪI.A ša ú-ší-na-lam il₅-qé IGI e-nu-um-we-er DUMU šu-da-a IGI i-lá-áš-ra-ni DUMU sú-kà-li-a IGI en-na-sú-in DUMU i-dí-a-bi-im IGI DUMU a-bu-bu ta-ar-dí-im,"Aššur-imittī son of Etaya has received 17 minas of refined silver and 7.5 shekels of -gold from the proceeds of Ušinalam's wool. Witnessed by Ennam-Wēr son of Šudaya, by Il-ašrannī son of Sukalliya, by Enna-Suen son of Iddin-abum, by Abūbu's younger son. ","Aššur-imittī son of Etaya has received 17 minas of refined silver and 7.5 shekels of -gold from the proceeds of Ušinalam's wool. Witnessed by Ennam-Wēr son of Šudaya, by Il-ašrannī son of Sukkalliya, by Enna-Suen son of Iddin-abum, by Abūbu's younger son.",2,17 ma-na KÙ.BABBAR ṣa-ru-pá-am ù 7.5 GÍN KÙ.GI ší-kam a-šùr-i-mì-tí DUMU e-ta-a i-na ší-im SÍG.ḪI.A ša ú-ší-na-lam il₅-qé IGI en-na-we-er DUMU šu-da-a IGI i-lá-áš-ra-ni DUMU sú-kà-li-a IGI en-na-sú-in DUMU i-dí-a-bi-im IGI DUMU a-bu-bu ta-ar-dí-im,92.22667353018296,286,281
